Area construida;Precio metro cuadrado;Estrato;Antiguedad;Estado;Tamaño;Habitaciones;Baños;Parqueaderos;Precio
62;4032258;4;2;2;62;3;2;1;250000000
105;3238095;4;2;3;105;4;2;1;340000000
87;6896552;6;3;2;87;3;3;2;600000000
52;5769231;4;3;3;52;2;1;1;300000000
80;4375000;4;4;2;80;3;3;1;350000000
102;3725490;3;4;3;102;3;2;1;380000000
128;6562500;6;2;3;128;2;3;2;840000000
62;3870968;3;4;3;62;3;2;1;240000000
111;6306306;4;2;3;111;4;4;2;700000000
135;3904059;5;4;3;135;3;3;1;529000000
250;1436000;3;5;2;250;8;4;0;359000000
74;5000000;4;2;3;74;3;2;1;370000000
400;4000000;5;4;3;400;4;5;4;1600000000
180;4166667;4;4;3;180;3;3;3;750000000
110;4454545;4;2;3;110;3;3;2;490000000
160;4312500;5;4;2;160;3;3;3;690000000
243;2674897;5;4;3;243;4;5;2;650000000
63;2539683;3;4;3;63;3;1;0;160000000
367;15803815;6;1;3;367;4;6;4;5800000000
57;3070175;3;3;3;57;3;2;0;175000000
51;7254902;4;3;2;51;1;2;1;370000000
68;2941176;3;5;3;68;3;1;1;200000000
66;6515152;4;3;3;66;1;2;1;430000000
108;1620370;2;1;3;108;2;1;1;175000000
135;5555556;6;4;3;135;3;2;3;750000000
230;5652174;5;4;2;230;5;5;3;1300000000
80;5375000;5;4;3;80;2;2;2;430000000
83;5421687;4;3;3;83;3;2;2;450000000
94;3936170;3;2;3;94;3;3;1;370000000
106;3490566;3;2;3;106;3;3;1;370000000
76;4868421;5;4;3;76;2;2;1;370000000
89;6067416;5;5;3;89;3;3;2;540000000
106;8490566;5;5;3;106;2;3;2;900000000
72;4234722;4;2;3;72;3;2;1;304900000
200;4100000;5;3;3;200;4;4;2;820000000
360;2722222;3;4;2;360;3;3;0;980000000
51;8235294;4;2;3;51;1;2;1;420000000
174;3735632;3;5;3;174;5;2;2;650000000
50;3200000;3;4;3;50;3;2;0;160000000
83;1566265;2;5;3;83;5;4;0;130000000
64;3906250;4;4;3;64;3;2;1;250000000
71;4788732;4;2;3;71;3;2;1;340000000
40;5375000;4;4;2;40;1;1;1;215000000
51;3901961;3;1;3;51;3;2;0;199000000
74;4581081;4;5;3;74;3;2;1;339000000
273;1354945;2;1;3;273;8;4;0;369900000
87;4252874;3;5;2;87;3;2;0;370000000
153;4901961;6;5;2;153;3;2;2;750000000
80;11187500;6;2;3;80;1;2;2;895000000
253;3162055;3;4;3;253;6;5;0;800000000
88;5284091;4;2;3;88;3;2;2;465000000
230;5652174;5;4;2;230;5;5;3;1300000000
80;5375000;5;4;3;80;2;2;2;430000000
83;5421687;4;3;3;83;3;2;2;450000000
94;3936170;3;2;3;94;3;3;1;370000000
106;3490566;3;2;3;106;3;3;1;370000000
76;4868421;5;4;3;76;2;2;1;370000000
89;6067416;5;5;3;89;3;3;2;540000000
106;8490566;5;5;3;106;2;3;2;900000000
72;4234722;4;2;3;72;3;2;1;304900000
200;4100000;5;3;3;200;4;4;2;820000000
360;2722222;3;4;2;360;3;3;0;980000000
51;8235294;4;2;3;51;1;2;1;420000000
174;3735632;3;5;3;174;5;2;2;650000000
385;1194805;3;5;1;385;11;5;0;460000000
86;3720930;4;5;2;86;2;2;1;320000000
101;6831683;6;2;3;101;3;3;3;690000000
270;5555556;6;4;2;270;3;4;2;1500000000
89;3808989;3;2;3;89;3;2;1;339000000
146;6784247;6;2;2;146;2;2;2;990500000
59;5101695;4;2;2;59;1;2;1;301000000
123;3536585;4;4;2;123;4;4;2;435000000
105;3695238;4;4;2;105;2;2;0;388000000
70;3500000;3;3;3;70;3;2;0;245000000
40;4125000;3;5;3;40;2;1;1;165000000
71;4507042;4;5;2;71;2;2;1;320000000
202;3366337;3;4;2;202;7;5;2;680000000
89;4949438;5;3;2;89;3;2;2;440500000
97;5670103;6;3;2;97;2;2;2;550000000
168;4047619;4;4;2;168;4;4;2;680000000
67;5208955;4;5;2;67;2;1;1;349000000
70;4500000;3;1;3;70;2;2;1;315000000
108;5324074;3;4;2;108;11;5;0;575000000
65;8623077;6;2;2;65;1;2;1;560500000
72;1333333;1;4;2;72;2;1;1;96000000
107;4210280;6;3;2;107;2;3;2;450500000
80;4693750;5;4;2;80;2;2;2;375500000
128;7578125;6;2;3;128;2;3;2;970000000
75;6133333;4;3;3;75;3;2;1;460000000
152;3618421;4;5;2;152;3;3;2;550000000
370;5351351;6;3;3;370;5;7;8;1980000000
173;7687861;6;3;3;173;3;4;2;1330000000
62;4951613;4;4;3;62;3;2;1;307000000
400;4000000;5;4;3;400;4;5;4;1600000000
167;13772455;6;2;2;167;3;4;4;2300000000
93;4086022;5;4;2;93;3;3;2;380000000
270;3333333;4;4;3;270;5;4;2;900000000
289;1384083;3;5;3;289;9;4;1;400000000
135;5481481;5;4;2;135;3;3;2;740000000
175;5600000;5;2;3;175;3;4;2;980000000
213;6032864;5;3;3;213;3;5;3;1285000000
250;4400000;5;5;2;250;4;3;2;1100000000
47;6063830;4;2;3;47;1;2;1;285000000
111;4774775;4;3;3;111;3;3;2;530000000
69;2637681;2;3;3;69;3;3;0;182000000
79;5189873;4;1;3;79;3;2;1;410000000
72;3125000;3;3;2;72;3;2;1;225000000
116;5579399;4;2;3;116;3;3;2;650000000
780;4807692;3;2;3;780;;10;0;3750000000
95;4947368;5;2;3;95;3;2;1;470000000
129;4496124;4;4;3;129;3;3;1;580000000
57;3508772;3;2;3;57;3;2;1;200000000
88;5340909;4;2;3;88;3;2;1;470000000
53;3396226;2;1;3;53;3;2;1;180000000
57;2543860;3;2;3;57;3;2;0;145000000
55;4363636;4;4;1;55;2;1;1;240000000
70;5142857;5;4;3;70;2;2;1;360000000
77;5389610;4;2;3;77;3;2;2;415000000
162;5246914;3;4;3;162;4;3;2;850000000
79;4367089;4;4;3;79;3;2;2;345000000
52;5384615;5;4;2;52;1;1;2;280000000
58;6551724;4;3;3;58;2;1;0;380000000
130;5000000;6;4;2;130;3;3;2;650000000
189;2301587;3;5;2;189;13;4;1;435000000
73;3972603;3;2;3;73;3;2;1;290000000
90;4166667;4;2;3;90;3;2;2;375000000
235;3191489;5;5;1;235;3;3;3;750000000
113;1681416;3;2;3;113;3;2;0;190000000
53;3301887;3;2;3;53;3;2;0;175000000
