Area construida;Area privada;Precio metro cuadrado;Precio administracion;Estrato;Antiguedad;Estado;Tamaño;Habitaciones;Baños;Parqueaderos;Precio
62;56;4032258;176000;4;2;2;62;3;2;1;250000000
52;52;5769231;387600;4;3;3;52;2;1;1;300000000
62;59;3870968;181000;3;4;3;62;3;2;1;240000000
111;111;6306306;390000;4;2;3;111;4;4;2;700000000
110;110;4454545;382000;4;2;3;110;3;3;2;490000000
160;160;4312500;1020000;5;4;2;160;3;3;3;690000000
63;60;2539683;45000000;3;4;3;63;3;1;0;160000000
57;52;3070175;79000;3;3;3;57;3;2;0;175000000
51;49;7254902;203000;4;3;2;51;1;2;1;370000000
68;64;2941176;210000;3;5;3;68;3;1;1;200000000
230;230;5652174;650000;5;4;2;230;5;5;3;1300000000
80;80;5375000;550000;5;4;3;80;2;2;2;430000000
83;80;5421687;227000;4;3;3;83;3;2;2;450000000
94;94;3936170;217000;3;2;3;94;3;3;1;370000000
106;96;3490566;350000;3;2;3;106;3;3;1;370000000
76;62;4868421;241000;5;4;3;76;2;2;1;370000000
89;82;6067416;526000;5;5;3;89;3;3;2;540000000
106;106;8490566;700000;5;5;3;106;2;3;2;900000000
200;200;4100000;560000;5;3;3;200;4;4;2;820000000
51;48;8235294;270000;4;2;3;51;1;2;1;420000000
50;45;3200000;110000;3;4;3;50;3;2;0;160000000
83;83;1566265;1;2;5;3;83;5;4;0;130000000
64;60;3906250;150000;4;4;3;64;3;2;1;250000000
71;63;4788732;238000;4;2;3;71;3;2;1;340000000
40;40;5375000;245000;4;4;2;40;1;1;1;215000000
51;51;3901961;117000;3;1;3;51;3;2;0;199000000
74;74;4581081;255000;4;5;3;74;3;2;1;339000000
153;153;4901961;965000;6;5;2;153;3;2;2;750000000
80;80;11187500;600000;6;2;3;80;1;2;2;895000000
253;253;3162055;10000;3;4;3;253;6;5;0;800000000
230;230;5652174;650000;5;4;2;230;5;5;3;1300000000
80;80;5375000;550000;5;4;3;80;2;2;2;430000000
83;80;5421687;227000;4;3;3;83;3;2;2;450000000
94;94;3936170;217000;3;2;3;94;3;3;1;370000000
106;96;3490566;350000;3;2;3;106;3;3;1;370000000
76;62;4868421;241000;5;4;3;76;2;2;1;370000000
89;82;6067416;526000;5;5;3;89;3;3;2;540000000
106;106;8490566;700000;5;5;3;106;2;3;2;900000000
200;200;4100000;560000;5;3;3;200;4;4;2;820000000
51;48;8235294;270000;4;2;3;51;1;2;1;420000000
86;86;3720930;30000;4;5;2;86;2;2;1;320000000
270;270;5555556;1197000;6;4;2;270;3;4;2;1500000000
89;81;3808989;165000;3;2;3;89;3;2;1;339000000
146;146;6784247;726000;6;2;2;146;2;2;2;990500000
59;59;5101695;205000;4;2;2;59;1;2;1;301000000
123;114;3536585;400000;4;4;2;123;4;4;2;435000000
105;95;3695238;212000;4;4;2;105;2;2;0;388000000
70;70;3500000;139000;3;3;3;70;3;2;0;245000000
40;40;4125000;125000;3;5;3;40;2;1;1;165000000
202;202;3366337;10000;3;4;2;202;7;5;2;680000000
89;89;4949438;498000;5;3;2;89;3;2;2;440500000
97;96;5670103;700000;6;3;2;97;2;2;2;550000000
67;67;5208955;335000;4;5;2;67;2;1;1;349000000
70;63;4500000;200000;3;1;3;70;2;2;1;315000000
65;65;8623077;530000;6;2;2;65;1;2;1;560500000
107;107;4210280;369000;6;3;2;107;2;3;2;450500000
80;80;4693750;531000;5;4;2;80;2;2;2;375500000
128;126;7578125;700000;6;2;3;128;2;3;2;970000000
75;75;6133333;550000;4;3;3;75;3;2;1;460000000
370;10788;5351351;700000;6;3;3;370;5;7;8;1980000000
167;167;13772455;1200000;6;2;2;167;3;4;4;2300000000
135;122;5481481;827400;5;4;2;135;3;3;2;740000000
175;156;5600000;500000;5;2;3;175;3;4;2;980000000
213;199;6032864;980000;5;3;3;213;3;5;3;1285000000
47;47;6063830;220000;4;2;3;47;1;2;1;285000000
111;111;4774775;372000;4;3;3;111;3;3;2;530000000
69;69;2637681;75000;2;3;3;69;3;3;0;182000000
79;79;5189873;320000;4;1;3;79;3;2;1;410000000
116;102;5579399;360000;4;2;3;116;3;3;2;650000000
95;90;4947368;310000;5;2;3;95;3;2;1;470000000
57;57;3508772;157000;3;2;3;57;3;2;1;200000000
53;53;3396226;60000;2;1;3;53;3;2;1;180000000
57;57;2543860;80000;3;2;3;57;3;2;0;145000000
55;55;4363636;202000;4;4;1;55;2;1;1;240000000
360;360;5833333;1945000;6;4;3;360;5;6;4;2100000000
96;96;8333333;750000;6;3;3;96;2;3;2;800000000
218;218;22935780;1000000;5;4;2;218;3;3;2;5000000000
236;236;3389831;610000;5;4;3;236;4;4;2;800000000
153;153;7843137;909000;6;3;3;153;3;4;3;1200000000
105;105;4952381;380000;4;2;3;105;3;2;2;520000000
79;79;6708861;380000;4;1;3;79;1;2;2;530000000
40;36;2250000;10;2;3;2;40;2;1;0;90000000
110;110;4954545;200000;5;4;3;110;3;3;2;545000000
221;164;5429864;546000;5;2;3;221;3;4;3;1200000000
239;239;3933054;450000;5;4;3;239;3;2;2;940000000
39;39;4615385;120000;3;2;3;39;;2;0;180000000
70;68;4928571;400000;4;3;3;70;2;2;1;345000000
46;44;5869565;305000;4;2;3;46;1;2;1;270000000
68;68;2573529;30000;2;4;3;68;4;1;0;175000000
31;29;2967742;84000;2;2;3;31;2;1;1;92000000
89;89;4550562;260000;4;3;3;89;3;2;1;405000000
92;80;3576087;170000;3;5;3;92;3;3;1;329000000
97;97;4103093;160;3;1;3;97;3;2;1;398000000
64;64;3093750;100000;3;2;3;64;3;2;1;198000000
69;69;3913043;190000;3;3;3;69;3;2;1;270000000
60;60;4166667;200000;3;4;3;60;3;2;1;250000000
51;47;7058824;260000;4;2;3;51;1;2;1;360000000
126;126;4523810;301000;3;5;2;126;4;2;0;570000000
90;90;7055556;630000;5;2;3;90;3;3;2;635000000
81;81;1358025;50000;2;2;3;81;4;2;0;110000000
57;57;4210351;118000;3;3;3;57;3;2;2;239990000
75;70;3866533;210000;3;2;2;75;3;2;1;289990000
80;78;2312375;88000;3;4;2;80;4;2;0;184990000
127;120;5118031;447000;5;4;2;127;3;4;2;649990000
50;50;3520000;91000;3;3;3;50;3;1;0;176000000
54;50;3148148;75000;2;3;3;54;4;2;0;170000000
180;175;7500000;550000;6;3;3;180;4;5;2;1350000000
