Area construida;Precio metro cuadrado;Estrato;Antiguedad;Estado;Tamaño;Habitaciones;Baños;Parqueaderos;Precio
87;6896552;6;3;2;87;3;3;2;600000000
128;6562500;6;2;3;128;2;3;2;840000000
367;15803815;6;1;3;367;4;6;4;5800000000
135;5555556;6;4;3;135;3;2;3;750000000
153;4901961;6;5;2;153;3;2;2;750000000
80;11187500;6;2;3;80;1;2;2;895000000
101;6831683;6;2;3;101;3;3;3;690000000
270;5555556;6;4;2;270;3;4;2;1500000000
146;6784247;6;2;2;146;2;2;2;990500000
97;5670103;6;3;2;97;2;2;2;550000000
65;8623077;6;2;2;65;1;2;1;560500000
107;4210280;6;3;2;107;2;3;2;450500000
128;7578125;6;2;3;128;2;3;2;970000000
370;5351351;6;3;3;370;5;7;8;1980000000
173;7687861;6;3;3;173;3;4;2;1330000000
167;13772455;6;2;2;167;3;4;4;2300000000
130;5000000;6;4;2;130;3;3;2;650000000
360;5833333;6;4;3;360;5;6;4;2100000000
96;8333333;6;3;3;96;2;3;2;800000000
153;7843137;6;3;3;153;3;4;3;1200000000
180;7500000;6;3;3;180;4;5;2;1350000000
382;11393427;6;4;3;382;5;6;5;4361290000
170;4500000;6;4;2;170;4;5;3;765000000
87;6896552;6;3;2;87;3;3;2;600000000
205;3414634;6;4;3;205;4;4;2;700000000
101;6881188;6;4;3;101;3;3;2;695000000
180;2500000;6;2;3;180;4;3;3;450000000
90;6258307;6;2;3;90;2;3;2;565000000
127;4330709;6;4;2;127;3;2;4;550000000
130;5615385;6;4;3;130;3;4;2;730000000
113;7522124;6;2;3;113;3;3;2;850000000
140;7000000;6;3;3;140;2;2;2;980000000
105;6190476;6;4;2;105;3;3;1;650000000
168;7440476;6;2;3;168;4;4;2;1250000000
122;9795918;6;2;3;122;3;4;2;1200000000
108;4981481;6;5;3;108;3;3;1;538000000
88;5000000;6;4;3;88;1;1;1;440000000
180;7500000;6;3;3;180;4;5;2;1350000000
168;7440476;6;2;3;168;4;4;2;1250000000
122;9795918;6;2;3;122;3;4;2;1200000000
180;7500000;6;3;3;180;4;5;2;1350000000
92;7391304;6;3;2;92;2;2;2;680000000
178;6741573;6;3;3;178;3;4;2;1200000000
300;9000000;6;5;3;300;3;4;3;2700000000
268;7167910;6;4;3;268;4;5;3;1921000001
331;11178248;6;2;3;331;4;5;4;3700000000
155;11290323;6;2;3;155;3;3;4;1750000001
134;6544776;6;4;3;134;4;4;2;877000001
183;7650273;6;3;3;183;3;4;2;1400000001
176;8096591;6;4;3;176;4;5;2;1425000001
325;2923077;6;4;3;325;4;4;0;950000000
134;5093284;6;5;2;134;3;3;2;682500000
237;4831224;6;4;3;237;4;4;4;1145000000
127;4330709;6;4;2;127;3;2;4;550000000
250;9200000;6;3;3;250;3;5;4;2300000000
108;5185185;6;5;3;108;2;2;2;560000000
450;4222222;6;5;2;450;4;5;5;1900000000
465;13333333;6;5;3;465;12;11;10;6200000000
455;4725275;6;3;3;455;3;4;8;2150000000
73;7671233;6;3;3;73;2;2;2;560000000
130;7307692;6;3;2;130;2;3;2;950000000
75;7600000;6;2;3;75;2;2;1;570000000
315;5714286;6;3;3;315;4;6;6;1800000000
118;5508475;6;4;3;118;3;4;2;650000000
116;7068966;6;4;2;116;1;2;2;820000000
274;8576642;6;4;2;274;3;3;4;2350000000
238;11000000;6;3;3;238;3;4;3;2618000000
