Area construida;Precio metro cuadrado;Estrato;Antiguedad;Estado;Tamaño;Habitaciones;Baños;Parqueaderos;Precio
87;6896552;6;3;2;87;3;3;2;600000000
128;6562500;6;2;3;128;2;3;2;840000000
135;3904059;5;4;3;135;3;3;1;529000000
400;4000000;5;4;3;400;4;5;4;1600000000
160;4312500;5;4;2;160;3;3;3;690000000
243;2674897;5;4;3;243;4;5;2;650000000
367;15803815;6;1;3;367;4;6;4;5800000000
135;5555556;6;4;3;135;3;2;3;750000000
230;5652174;5;4;2;230;5;5;3;1300000000
80;5375000;5;4;3;80;2;2;2;430000000
76;4868421;5;4;3;76;2;2;1;370000000
89;6067416;5;5;3;89;3;3;2;540000000
106;8490566;5;5;3;106;2;3;2;900000000
200;4100000;5;3;3;200;4;4;2;820000000
153;4901961;6;5;2;153;3;2;2;750000000
80;11187500;6;2;3;80;1;2;2;895000000
230;5652174;5;4;2;230;5;5;3;1300000000
80;5375000;5;4;3;80;2;2;2;430000000
76;4868421;5;4;3;76;2;2;1;370000000
89;6067416;5;5;3;89;3;3;2;540000000
106;8490566;5;5;3;106;2;3;2;900000000
200;4100000;5;3;3;200;4;4;2;820000000
101;6831683;6;2;3;101;3;3;3;690000000
270;5555556;6;4;2;270;3;4;2;1500000000
146;6784247;6;2;2;146;2;2;2;990500000
89;4949438;5;3;2;89;3;2;2;440500000
97;5670103;6;3;2;97;2;2;2;550000000
65;8623077;6;2;2;65;1;2;1;560500000
107;4210280;6;3;2;107;2;3;2;450500000
80;4693750;5;4;2;80;2;2;2;375500000
128;7578125;6;2;3;128;2;3;2;970000000
370;5351351;6;3;3;370;5;7;8;1980000000
173;7687861;6;3;3;173;3;4;2;1330000000
400;4000000;5;4;3;400;4;5;4;1600000000
167;13772455;6;2;2;167;3;4;4;2300000000
93;4086022;5;4;2;93;3;3;2;380000000
135;5481481;5;4;2;135;3;3;2;740000000
175;5600000;5;2;3;175;3;4;2;980000000
213;6032864;5;3;3;213;3;5;3;1285000000
250;4400000;5;5;2;250;4;3;2;1100000000
95;4947368;5;2;3;95;3;2;1;470000000
70;5142857;5;4;3;70;2;2;1;360000000
52;5384615;5;4;2;52;1;1;2;280000000
130;5000000;6;4;2;130;3;3;2;650000000
235;3191489;5;5;1;235;3;3;3;750000000
360;5833333;6;4;3;360;5;6;4;2100000000
96;8333333;6;3;3;96;2;3;2;800000000
218;22935780;5;4;2;218;3;3;2;5000000000
236;3389831;5;4;3;236;4;4;2;800000000
153;7843137;6;3;3;153;3;4;3;1200000000
110;4954545;5;4;3;110;3;3;2;545000000
221;5429864;5;2;3;221;3;4;3;1200000000
239;3933054;5;4;3;239;3;2;2;940000000
59;5762712;5;2;3;59;2;2;1;340000000
286;3758741;5;4;2;286;6;5;1;1075000000
52;7403846;5;2;3;52;1;2;1;385000000
90;7055556;5;2;3;90;3;3;2;635000000
127;5118031;5;4;2;127;3;4;2;649990000
180;7500000;6;3;3;180;4;5;2;1350000000
129;5736434;5;2;3;129;3;3;2;740000000
100;3500000;5;5;1;100;2;3;1;350000000
325;3046154;5;2;3;325;5;6;3;990000000
95;4947368;5;2;3;95;3;3;1;470000000
382;11393427;6;4;3;382;5;6;5;4361290000
170;4500000;6;4;2;170;4;5;3;765000000
130;7538462;5;2;2;130;3;2;2;980000000
270;3333333;5;5;2;270;7;4;2;900000000
